ink_id,start_node_id,end_node_id,nid_s_old,nid_e_old,length,lanes,link_type,maxmph,geometry,fft
0,207,15434,19549,21332,1000,1000000,vl_link,10000000,"LINESTRING(-122.4806093 37.9432282, -122.47911 37.94269)",0.000223741
1,17848,15434,1,21332,1000,1000000,vl_link,10000000,"LINESTRING(-122.480529 37.943501, -122.47911 37.94269)",0.000223741
